Block,Neighborhood,BuildingClassification,TotalUnits,YearBuilt,GrossSqFt,EstGrossIncome,GrossIncomePerSqFt,FullMarketValue,MarketValuePerSqFt
00298,LOWER EAST SIDE,R4-ELEVATOR,41,1941,25795,748055,29,3579991,139
00309,LOWER EAST SIDE,R4-ELEVATOR,25,2003,39027,1131783,29,5419996,139
00345,LOWER EAST SIDE,R4-ELEVATOR,41,2004,39643,1430000,36.1,7169989,181
00349,LOWER EAST SIDE,R2-WALK-UP,48,1930,61673,1800000,29.2,8619990,140
00350,LOWER EAST SIDE,R4-ELEVATOR,38,1930,32476,870000,26.8,3779998,116
00353,LOWER EAST SIDE,R4-ELEVATOR,31,2005,47873,1720000,35.9,8239999,172
00375,ALPHABET CITY,R4-ELEVATOR,25,2001,27798,705791,25.4,3059995,110
00384,ALPHABET CITY,R4-ELEVATOR,23,2005,34734,1050700,30.2,5030003,145
00385,ALPHABET CITY,R4-ELEVATOR,47,2005,36472,1677712,46,7970000,219
00386,ALPHABET CITY,R2-WALK-UP,13,1920,18990,436770,23,1900004,100
00389,ALPHABET CITY,R9-CONDOPS,30,1901,20940,502560,24,2120000,101
00390,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,526084,33.5,2519999,160
00390,ALPHABET CITY,R9-CONDOPS,78,2001,65832,2523720,38.3,12000000,182
00392,ALPHABET CITY,R4-ELEVATOR,83,1928,78982,2014040,25.5,8750003,111
00393,ALPHABET CITY,R2-WALK-UP,35,1999,36046,1117426,31,5349997,148
00394,ALPHABET CITY,R2-WALK-UP,12,2001,15957,478710,30,2289996,144
00394,ALPHABET CITY,R2-WALK-UP,12,2001,11495,389450,33.9,1870000,163
00397,ALPHABET CITY,R4-ELEVATOR,21,1920,20038,508564,25.4,2209999,110
00397,ALPHABET CITY,R4-ELEVATOR,16,1920,19854,476496,24,2069997,104
00398,ALPHABET CITY,R2-WALK-UP,41,1987,35664,1034256,29,4950007,139
00399,ALPHABET CITY,R9-CONDOPS,17,1920,21314,490222,23,2070000,97
00405,ALPHABET CITY,R2-WALK-UP,12,1999,14376,431280,30,2070000,144
00405,ALPHABET CITY,R4-ELEVATOR,26,1965,29906,1046710,35,5010000,168
00406,ALPHABET CITY,R2-WALK-UP,24,1900,15021,315441,21,1370001,91
00407,ALPHABET CITY,R2-WALK-UP,18,1920,11033,220660,20,932000,84
00407,ALPHABET CITY,R2-WALK-UP,18,1999,19119,559230,29.2,2680001,140
00408,LOWER EAST SIDE,R4-ELEVATOR,13,1900,31205,950000,30.4,4550002,146
00411,LOWER EAST SIDE,R4-ELEVATOR,16,1900,14130,395000,28,1889996,134
00413,LOWER EAST SIDE,R2-WALK-UP,18,1900,7994,295000,36.9,1480005,185
00414,LOWER EAST SIDE,R4-ELEVATOR,16,1900,5130,165000,32.2,790000,154
00416,LOWER EAST SIDE,R4-ELEVATOR,31,1900,14100,330000,23.4,1430001,101
00416,LOWER EAST SIDE,R4-ELEVATOR,12,2003,8664,360000,41.6,1810001,209
00418,LOWER EAST SIDE,R4-ELEVATOR,12,2002,7042,290000,41.2,1449998,206
00421,LOWER EAST SIDE,R4-ELEVATOR,16,1988,13319,490000,36.8,2459999,185
00422,LOWER EAST SIDE,R9-CONDOPS,25,1900,15170,350000,23.07,1480000,98
00425,LOWER EAST SIDE,R4-ELEVATOR,16,1900,26783,930000,34.7,4449998,166
00425,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2140000,37.9,10700004,189
00432,EAST VILLAGE,R4-ELEVATOR,32,1991,23605,895000,37.9,4490003,190
00432,EAST VILLAGE,R9-CONDOPS,26,1900,21586,505000,23.39,2130000,99
00434,EAST VILLAGE,R4-ELEVATOR,20,1920,11229,310000,27.6,1480000,132
00438,EAST VILLAGE,R4-ELEVATOR,13,2001,15742,580000,36.8,2909998,185
00440,EAST VILLAGE,R4-ELEVATOR,27,1900,30363,915000,30.1,4380000,144
00440,EAST VILLAGE,R2-WALK-UP,13,1900,20099,510000,25.4,2210002,110
00441,EAST VILLAGE,R4-ELEVATOR,40,1911,25528,815000,31.9,3899996,153
00441,EAST VILLAGE,R4-ELEVATOR,96,2006,93382,4100000,43.9,20599999,221
00444,EAST VILLAGE,R4-ELEVATOR,20,1900,17225,550000,31.9,2629994,153
00446,EAST VILLAGE,R9-CONDOPS,28,2004,17793,640000,36,3040000,171
00446,EAST VILLAGE,R9-CONDOPS,66,1920,67764,2030000,30,9300000,137
00447,EAST VILLAGE,R9-CONDOPS,20,1900,11574,340000,29.4,1560000,135
00451,EAST VILLAGE,R4-ELEVATOR,35,1999,62556,2390000,38.2,11999995,192
00462,EAST VILLAGE,R9-CONDOPS,34,1991,36693,1290000,35.2,6130000,167
00463,EAST VILLAGE,R4-ELEVATOR,36,1984,24528,1100000,44.8,5519998,225
00464,EAST VILLAGE,R4-ELEVATOR,14,1900,14650,470000,32.1,2250000,154
00465,EAST VILLAGE,R2-WALK-UP,12,1900,14269,438771,30.7,2100001,147
00466,EAST VILLAGE,R9-CONDOPS,28,2006,30662,1475000,48.1,7350000,240
00468,EAST VILLAGE,R9-CONDOPS,16,1900,21607,570000,26.4,2610000,121
00469,EAST VILLAGE,R4-ELEVATOR,16,1920,12192,365000,29.9,1749995,144
00469,EAST VILLAGE,R9-CONDOPS,155,1964,113930,3700000,32.5,17700000,155
00470,LITTLE ITALY,R4-ELEVATOR,28,1988,21442,653981,30.5,3129999,146
00472,LITTLE ITALY,R9-CONDOPS,55,1905,104637,2302014,22,9720000,93
00473,SOHO,R4-ELEVATOR,13,1890,78982,1918568,24.29,8330001,105
00473,SOHO,R4-ELEVATOR,18,1874,27023,740952,27.4,3550004,131
00474,SOHO,R4-ELEVATOR,13,1894,35452,921752,26,3999999,113
00474,SOHO,R4-ELEVATOR,14,1920,36407,946582,26,4110000,113
00474,SOHO,R4-ELEVATOR,41,2005,117311,4575129,39,22899994,195
00475,SOHO,R9-CONDOPS,20,1920,32149,803725,25,3390000,105
00475,SOHO,R4-ELEVATOR,14,1900,55210,1435460,26,6230003,113
00478,LITTLE ITALY,R4-ELEVATOR,37,1900,56714,1417850,25,6160000,109
00481,LITTLE ITALY,R4-ELEVATOR,41,1926,83916,3104892,37,15599998,186
00482,SOHO,R4-ELEVATOR,52,2005,73057,2231670,30.5,10700001,146
00492,LITTLE ITALY,R4-ELEVATOR,44,1915,39087,996718,25.5,4330007,111
00492,LITTLE ITALY,R4-ELEVATOR,35,1988,24582,762042,31,3650009,148
00494,LITTLE ITALY,R9-CONDOPS,25,1900,12142,303550,25,1280000,105
00498,SOHO,R4-ELEVATOR,14,1900,18031,459790,25.5,1999999,111
00499,SOHO,R4-ELEVATOR,19,1988,34876,889338,25.5,3860000,111
00499,SOHO,R4-ELEVATOR,14,2005,42823,1847000,43.1,9260000,216
00500,SOHO,R4-ELEVATOR,15,1907,20752,526063,25.3,2279998,110
00500,SOHO,R4-ELEVATOR,29,1900,36223,869352,24,3770009,104
00500,SOHO,R4-ELEVATOR,12,1879,34968,1470000,42,7369998,211
00501,SOHO,R4-ELEVATOR,15,1920,31967,900000,28.2,4310000,135
00502,SOHO,R4-ELEVATOR,35,1900,34821,905346,26,3929998,113
00507,LITTLE ITALY,R4-ELEVATOR,22,1900,22511,570653,25.3,2480000,110
00508,LITTLE ITALY,R4-ELEVATOR,26,1987,17117,530627,31,2539996,148
00510,LITTLE ITALY,R4-ELEVATOR,29,1900,97941,3134112,32,12667001,129
00512,SOHO,R4-ELEVATOR,21,1900,107781,3125649,29,15000003,139
00513,SOHO,R4-ELEVATOR,32,2003,56800,2385600,42,12000004,211
00514,SOHO,R4-ELEVATOR,15,2003,41314,1528618,37,7669999,186
00515,SOHO,R4-ELEVATOR,16,2006,38591,1620822,42,8129995,211
00517,SOHO,R9-CONDOPS,38,1950,20826,520650,25,2200000,106
00518,SOHO,R2-WALK-UP,27,1900,13020,325500,25,1410007,108
00518,SOHO,R2-WALK-UP,15,1920,6013,150325,25,652998,109
00520,SOHO,R4-ELEVATOR,38,1900,33383,901341,27,4320001,129
00521,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,18,1988,9514,332990,35,1599997,168
00522,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,11,1910,31039,807014,26,3500001,113
00525,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,190,1910,132000,3346200,25.4,14100000,107
00525,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,11,1910,6670,180000,27,862000,129
00525,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,54,1958,23688,604044,25.5,2770000,117
00525,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,144,1910,85234,2557020,30,12199995,143
00528,GREENWICH VILLAGE-WEST,R4-ELEVATOR,32,1986,35225,1056750,30,5060000,144
00528,GREENWICH VILLAGE-WEST,R4-ELEVATOR,12,1986,15990,479700,30,2299999,144
00529,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,20,1904,24630,735000,29.8,3519996,143
00529,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,21,1900,41990,1133730,27,5430002,129
00530,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,26,2006,85000,3570000,42,17900002,211
00531,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,56,1912,92500,3052500,33,14600004,158
00535,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,273,1908,290492,9586236,33,43900000,151
00540,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,18,1900,15744,409344,26,1870000,119
00542,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,24,1928,17842,465000,26.1,2130000,119
00542,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,40,1900,22777,630000,27.7,2880000,126
00544,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,25,1920,88353,3401590,38.5,17099999,194
00544,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,39,2004,116535,4894470,42,23300000,200
00545,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,50,1930,96566,2666665,27.6,12800002,133
00548,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,390,1965,445151,15580285,35,74000000,166
00552,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,28,1986,43106,1150000,26.7,4989995,116
00552,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,28,1966,32116,1100000,34.3,5269992,164
00556,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,11,1905,28385,777376,27.4,3720003,131
00557,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,65,1900,83089,2201858,26.5,10100000,122
00558,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,41,1985,56483,1638000,29,7850001,139
00558,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,70,1905,90082,2522296,28,12099998,134
00558,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,44,1988,57042,1654218,29,7920000,139
00559,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,84,2006,100500,4422000,44,22200001,221
00560,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,145,1955,136098,3606597,26.5,16500000,121
00560,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,150,1959,160209,4646061,29,21300000,133
00560,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,213,1954,140370,3789990,27,17400000,124
00561,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,229,1955,209785,5873980,28,26900000,128
00563,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,44,1985,43542,1306260,30,6260001,144
00567,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,96,1921,81875,3025330,37,15200020,186
00569,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,27,1907,66739,1735214,26,7530002,113
00569,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,12,1908,28097,744570,26.5,3230000,115
00569,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,37,1910,52493,1416311,27,6780002,129
00569,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,115,1903,60860,1764940,29,8449995,139
00571,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,39,1928,42384,1133772,26.8,5190000,122
00572,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,23,1952,13256,371168,28,1780000,134
00572,GREENWICH VILLAGE-CENTRAL,R2-WALK-UP,18,1900,14398,450000,31.3,2160002,150
00573,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,119,1959,94250,2497625,26.5,11400000,121
00575,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,15,1900,9380,255000,27.2,1170000,125
00575,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,17,1912,34118,852950,25,3700002,108
00576,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,70,1966,82017,2214459,27,10599991,129
00576,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,105,1931,112050,3249450,29,15600000,139
00576,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,30,1910,34168,854200,25,3610000,106
00577,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,77,1906,201330,7046550,35,33799993,168
00584,GREENWICH VILLAGE-WEST,R9-CONDOPS,169,1925,100633,2515825,25,10600000,105
00587,GREENWICH VILLAGE-WEST,R2-WALK-UP,30,1929,19320,483000,25,2099997,109
00589,GREENWICH VILLAGE-WEST,R4-ELEVATOR,43,1929,66282,1922178,29,9209999,139
00590,GREENWICH VILLAGE-WEST,R9-CONDOPS,86,1930,89510,2271763,25.4,10400000,116
00592,GREENWICH VILLAGE-WEST,R4-ELEVATOR,45,1900,21494,591085,27.5,2829993,132
00593,GREENWICH VILLAGE-WEST,R9-CONDOPS,30,1910,21738,652140,30,2990000,138
00593,GREENWICH VILLAGE-WEST,R4-ELEVATOR,18,1915,44820,1434240,32,6869999,153
00594,SOHO,R4-ELEVATOR,104,2003,196695,8851275,45,44400000,226
00594,SOHO,R4-ELEVATOR,22,1915,65085,2928825,45,14699997,226
00594,SOHO,R4-ELEVATOR,64,2005,94226,3769040,40,18900004,201
00594,SOHO,R4-ELEVATOR,13,2005,29579,1350000,45.6,6770004,229
00594,SOHO,R4-ELEVATOR,21,2007,40000,1480000,37,7429999,186
00595,SOHO,R4-ELEVATOR,12,1920,24850,990000,39.8,4959999,200
00595,SOHO,R4-ELEVATOR,12,1920,31613,800277,25.3,3470001,110
00595,SOHO,R4-ELEVATOR,40,2005,68865,3098925,45,15499998,225
00597,SOHO,R4-ELEVATOR,14,1920,31930,957900,30,4590000,144
00601,GREENWICH VILLAGE-WEST,R4-ELEVATOR,184,1920,212232,7003656,33,33499993,158
00602,GREENWICH VILLAGE-WEST,R4-ELEVATOR,142,2002,310000,14105000,45.5,70699994,228
00604,GREENWICH VILLAGE-WEST,R4-ELEVATOR,83,1920,88227,2735037,31,13100007,148
00608,GREENWICH VILLAGE-WEST,R4-ELEVATOR,214,1961,165160,5110000,30.9,24499998,148
00609,GREENWICH VILLAGE-WEST,R4-ELEVATOR,18,1912,46687,1310000,28.1,6270000,134
00610,GREENWICH VILLAGE-WEST,R4-ELEVATOR,113,1931,120723,3600000,29.8,17200005,142
00612,GREENWICH VILLAGE-WEST,R4-ELEVATOR,21,1987,18780,730000,38.9,3660002,195
00612,GREENWICH VILLAGE-WEST,R9-CONDOPS,30,1910,19715,500000,25.4,2110000,107
00612,GREENWICH VILLAGE-WEST,R9-CONDOPS,25,1905,13997,380000,27.1,1740000,124
00612,GREENWICH VILLAGE-WEST,R4-ELEVATOR,122,1964,92616,2350000,25.4,10199997,110
00616,GREENWICH VILLAGE-WEST,R9-CONDOPS,241,1931,209011,5300000,25.4,22400000,107
00618,GREENWICH VILLAGE-WEST,R4-ELEVATOR,132,1987,101634,3600000,35.4,17200001,169
00620,GREENWICH VILLAGE-WEST,R4-ELEVATOR,22,1998,41506,2050000,49.4,10299998,248
00620,GREENWICH VILLAGE-WEST,R2-WALK-UP,40,1893,18403,530000,28.8,2539998,138
00621,GREENWICH VILLAGE-WEST,R2-WALK-UP,21,1914,13648,440000,32.2,2110006,155
00623,GREENWICH VILLAGE-WEST,R9-CONDOPS,60,1920,32638,915000,28,4190000,128
00624,GREENWICH VILLAGE-WEST,R4-ELEVATOR,15,1983,27448,830000,30.2,3980004,145
00624,GREENWICH VILLAGE-WEST,R4-ELEVATOR,128,1910,138934,3750000,27,18000004,130
00624,GREENWICH VILLAGE-WEST,R9-CONDOPS,87,1939,75154,2440000,32.5,11200000,149
00625,GREENWICH VILLAGE-WEST,R4-ELEVATOR,182,1930,159268,4100000,25.7,17799998,112
00629,GREENWICH VILLAGE-WEST,R4-ELEVATOR,21,1907,30312,1060000,35,5080000,168
00629,GREENWICH VILLAGE-WEST,R4-ELEVATOR,49,1962,32863,985000,30,4720001,144
00629,GREENWICH VILLAGE-WEST,R4-ELEVATOR,47,1920,123881,4950000,40,24800002,200
00629,GREENWICH VILLAGE-WEST,R4-ELEVATOR,11,1920,23425,870000,37.1,4359999,186
00631,GREENWICH VILLAGE-WEST,R9-CONDOPS,20,1910,53943,1590000,29.5,7620000,141
00631,GREENWICH VILLAGE-WEST,R4-ELEVATOR,77,1987,73176,2600000,35.5,12499999,171
00635,GREENWICH VILLAGE-WEST,R4-ELEVATOR,24,1930,42407,1450000,34.2,6949997,164
00636,GREENWICH VILLAGE-WEST,R4-ELEVATOR,24,1997,38871,1740000,44.8,8729999,225
00636,GREENWICH VILLAGE-WEST,R4-ELEVATOR,20,1900,11852,430000,36.3,2160003,182
00637,GREENWICH VILLAGE-WEST,R4-ELEVATOR,32,1913,48708,0,0,8320002,171
00637,GREENWICH VILLAGE-WEST,R4-ELEVATOR,81,1987,60200,2230000,37,11200000,186
00637,GREENWICH VILLAGE-WEST,R4-ELEVATOR,23,2001,88141,4250000,48.2,21300000,242
00637,GREENWICH VILLAGE-WEST,R4-ELEVATOR,29,2004,72225,3250000,45,16299994,226
00638,GREENWICH VILLAGE-WEST,R4-ELEVATOR,24,1988,21991,770000,35,3690002,168
00638,GREENWICH VILLAGE-WEST,R4-ELEVATOR,18,1999,39213,1600000,40.8,8020000,205
00641,GREENWICH VILLAGE-WEST,R4-ELEVATOR,27,1910,20546,650000,31.6,3036550,148
00642,GREENWICH VILLAGE-WEST,R4-ELEVATOR,84,1997,147335,6000000,40.7,30100004,204
00643,GREENWICH VILLAGE-WEST,R2-WALK-UP,12,1910,11270,340000,30.2,1629999,145
00693,CHELSEA,R4-ELEVATOR,12,1930,28207,990000,35.1,4740003,168
00694,CHELSEA,R4-ELEVATOR,30,1930,72274,2250000,31.1,10800002,149
00695,CHELSEA,R4-ELEVATOR,336,2005,272102,11750000,43.2,58899994,216
00695,CHELSEA,R4-ELEVATOR,22,2004,49658,2300000,46.3,11499999,232
00695,CHELSEA,R4-ELEVATOR,11,2005,24000,1050000,43.8,5270000,220
00714,CHELSEA,R4-ELEVATOR,181,2006,173100,7443300,43,37299980,215
00714,CHELSEA,R4-ELEVATOR,288,2006,264402,11369286,43,54000442,204
00716,CHELSEA,R4-ELEVATOR,42,1900,49892,2195248,44,11000012,220
00716,CHELSEA,R4-ELEVATOR,20,1920,22920,916800,40,4600003,201
00716,CHELSEA,R4-ELEVATOR,43,2007,73263,3150309,43,16695367,228
00717,CHELSEA,R4-ELEVATOR,71,1989,54355,2391620,44,11999985,221
00720,CHELSEA,R4-ELEVATOR,39,1985,37431,1497240,40,7509994,201
00720,CHELSEA,R4-ELEVATOR,11,1900,8408,395176,47,1980003,235
00721,CHELSEA,R9-CONDOPS,713,1920,616965,25912530,42,123000000,199
00722,CHELSEA,R4-ELEVATOR,79,1912,97500,3705000,38,18600000,191
00723,CHELSEA,R4-ELEVATOR,52,1914,96088,3651344,38,18299997,190
00734,JAVITS CENTER,R4-ELEVATOR,52,1915,110799,3213171,29,15400006,139
00738,CHELSEA,R9-CONDOPS,117,1973,110995,3670000,33.1,16800000,151
00738,CHELSEA,R4-ELEVATOR,22,1930,37402,1250000,33.4,5990005,160
00742,CHELSEA,R4-ELEVATOR,60,1950,52698,1490000,28.3,7139994,135
00745,CHELSEA,R9-CONDOPS,218,1963,196721,5600000,28.5,25600000,130
00745,CHELSEA,R9-CONDOPS,70,1998,66668,2650000,39.7,12600000,189
00746,CHELSEA,R4-ELEVATOR,44,1985,53937,2000000,37.1,10000002,185
00746,CHELSEA,R9-CONDOPS,221,1931,151785,4400000,29,20100000,132
00746,CHELSEA,R4-ELEVATOR,26,1920,30908,1030000,33.3,4930000,160
00746,CHELSEA,R4-ELEVATOR,11,1911,16083,590000,36.7,2960002,184
00746,CHELSEA,R4-ELEVATOR,77,1948,36000,1225000,34,5869998,163
00751,CHELSEA,R4-ELEVATOR,17,2002,15480,580000,37.5,2909999,188
00760,FASHION,R4-ELEVATOR,20,1926,31962,1118670,35,5359996,168
00762,FASHION,R2-WALK-UP,16,1920,11685,385605,33,1850001,158
00764,CHELSEA,R2-WALK-UP,22,1930,16478,457264,27.7,2189996,133
00764,CHELSEA,R2-WALK-UP,34,1930,19979,554417,27.7,2659996,133
00766,CHELSEA,R4-ELEVATOR,16,1985,19718,769002,39,3859999,196
00766,CHELSEA,R4-ELEVATOR,156,1989,141673,4958555,35,23800009,168
00766,CHELSEA,R4-ELEVATOR,11,1910,72256,2528960,35,12100001,167
00766,CHELSEA,R4-ELEVATOR,31,1926,68206,2387210,35,17489998,256
00767,CHELSEA,R4-ELEVATOR,32,1907,83519,2505570,30,12000005,144
00767,CHELSEA,R4-ELEVATOR,37,2000,63723,2548920,40,12800002,201
00767,CHELSEA,R4-ELEVATOR,31,2002,52645,2105800,40,10600000,201
