Block,Neighborhood,BuildingClassification,TotalUnits,YearBuilt,GrossSqFt,EstGrossIncome,GrossIncomePerSqFt,FullMarketValue,MarketValuePerSqFt
01883,UPPER WEST SIDE (96-116),R9-CONDOPS,135,1930,147648,3550000,24.04,15000000,102
01883,UPPER WEST SIDE (96-116),R4-ELEVATOR,71,1990,46573,1260000,27.1,6040000,130
01887,UPPER WEST SIDE (96-116),R4-ELEVATOR,61,1920,90386,1450000,16.04,5260019,58
01888,UPPER WEST SIDE (96-116),R4-ELEVATOR,32,1910,39500,750000,18.99,2970003,75
01889,UPPER WEST SIDE (96-116),R4-ELEVATOR,106,1928,195971,4500000,22.96,19500001,100
01893,UPPER WEST SIDE (96-116),R9-CONDOPS,137,1920,165106,3960000,23.98,16700000,101
01893,UPPER WEST SIDE (96-116),R4-ELEVATOR,67,1922,103749,1556235,15,5990000,58
01894,UPPER WEST SIDE (96-116),R9-CONDOPS,151,1926,192853,3800000,19.7,16000000,83
01896,UPPER WEST SIDE (96-116),R9-CONDOPS,46,1911,63300,1360000,21.48,5740000,91
01901,HARLEM-CENTRAL,R9-CONDOPS,28,2004,52916,1799144,34,8550000,162
01901,HARLEM-CENTRAL,R9-CONDOPS,23,2004,37719,1282446,34,6090000,161
01903,HARLEM-CENTRAL,R4-ELEVATOR,25,1910,44329,1108225,25,4809997,109
01908,HARLEM-CENTRAL,R4-ELEVATOR,21,1906,46991,1174775,25,5110000,109
01914,HARLEM-CENTRAL,R4-ELEVATOR,19,2007,29315,996710,34,4769998,163
01922,HARLEM-CENTRAL,R4-ELEVATOR,16,1910,15210,304200,20,1319994,87
01924,HARLEM-CENTRAL,R4-ELEVATOR,64,2003,63252,1771056,28,8479996,134
01924,HARLEM-CENTRAL,R4-ELEVATOR,74,2003,59844,2034696,34,9670000,162
01924,HARLEM-CENTRAL,R4-ELEVATOR,22,2004,19500,663000,34,3150000,162
01930,HARLEM-CENTRAL,R4-ELEVATOR,11,1910,25230,630750,25,2739999,109
01942,HARLEM-CENTRAL,R2-WALK-UP,32,1994,35082,877050,25,3809984,109
01942,HARLEM-CENTRAL,R4-ELEVATOR,36,1933,38386,767720,20,3329999,87
01943,HARLEM-CENTRAL,R4-ELEVATOR,41,1900,45436,999592,22,4339997,96
01943,HARLEM-CENTRAL,R4-ELEVATOR,49,1901,66936,1405656,21,6100000,91
01944,HARLEM-CENTRAL,R2-WALK-UP,49,1931,63586,0,0,5100001,80
01945,HARLEM-CENTRAL,R4-ELEVATOR,48,2003,108510,3363810,31,16100000,148
01945,HARLEM-CENTRAL,R4-ELEVATOR,93,2006,108572,3257160,30,15599991,144
01946,HARLEM-CENTRAL,R4-ELEVATOR,54,2006,67413,2022390,30,9689999,144
01947,HARLEM-CENTRAL,R9-CONDOPS,74,2003,93600,2808000,30,12900000,138
01955,HARLEM-CENTRAL,R2-WALK-UP,15,1910,23765,522830,22,2270000,96
01959,HARLEM-CENTRAL,R4-ELEVATOR,170,2003,240000,6000000,25,26100001,109
01960,HARLEM-CENTRAL,R2-WALK-UP,28,1994,41964,923208,22,4009994,96
01988,HARLEM-WEST,R4-ELEVATOR,13,2002,21862,743308,34,3560001,163
01988,HARLEM-WEST,R4-ELEVATOR,29,2006,31308,1064472,34,5099999,163
01995,MORNINGSIDE HEIGHTS,R9-CONDOPS,48,1926,37103,816266,22,3740000,101
02023,HARLEM-CENTRAL,R2-WALK-UP,28,1993,30976,681472,22,2960000,96
02034,HARLEM-CENTRAL,R9-CONDOPS,104,1920,143389,4014892,28,18400000,128
02041,HARLEM-CENTRAL,R2-WALK-UP,28,1994,36188,796136,22,3460007,96
02041,HARLEM-CENTRAL,R4-ELEVATOR,14,1894,18306,640710,35,3069999,168
02042,HARLEM-CENTRAL,R2-WALK-UP,47,1896,76584,1684848,22,7320009,96
02044,HARLEM-CENTRAL,R9-CONDOPS,128,2003,212047,6361410,30,29100000,137
02045,HARLEM-CENTRAL,R4-ELEVATOR,180,2005,204835,6145050,30,29400016,144
02045,HARLEM-CENTRAL,R9-CONDOPS,135,2005,164085,4922550,30,20800000,127
02051,HARLEM-CENTRAL,R9-CONDOPS,77,2001,91858,2755740,30,12600000,137
02066,HARLEM-UPPER,R2-WALK-UP,38,1926,25050,551100,22,2390004,95
02067,HARLEM-UPPER,R4-ELEVATOR,20,1920,17565,526950,30,2520004,143
02079,HARLEM-UPPER,R4-ELEVATOR,12,2005,12000,480000,40,2409999,201
02090,HARLEM-UPPER,R4-ELEVATOR,54,1908,30886,617720,20,2680000,87
02092,HARLEM-UPPER,R4-ELEVATOR,25,1926,24132,253386,10.5,786999,32.6
02093,HARLEM-UPPER,R4-ELEVATOR,35,1920,30441,608820,20,2640000,87
02094,HARLEM-UPPER,R4-ELEVATOR,50,1913,86020,1978460,23,8590000,100
02095,HARLEM-UPPER,R4-ELEVATOR,50,2005,67805,2034150,30,9740006,144
02096,HARLEM-UPPER,R4-ELEVATOR,74,1912,107100,1499400,14,5469995,51
02122,WASHINGTON HEIGHTS LOWER,R4-ELEVATOR,13,2008,22052,595000,27,2850000,129
02134,WASHINGTON HEIGHTS LOWER,R4-ELEVATOR,48,1920,52476,700000,13.34,2769998,53
02164,WASHINGTON HEIGHTS UPPER,R4-ELEVATOR,114,1969,109752,1870000,17.04,7399998,67
02179,WASHINGTON HEIGHTS UPPER,R4-ELEVATOR,78,1987,101844,2140000,21.01,9290002,91
02179,WASHINGTON HEIGHTS UPPER,R4-ELEVATOR,20,2002,22838,640000,28,3070002,134
02180,WASHINGTON HEIGHTS UPPER,R9-CONDOPS,65,1950,55522,850000,15.31,3270000,59
02180,WASHINGTON HEIGHTS UPPER,R4-ELEVATOR,56,2003,75765,1740000,22.97,7559993,100
02221,INWOOD,R4-ELEVATOR,89,1925,76970,769700,10,2200005,28.6
